CitanceNumber,PreTwo,PreOne,CitationSentence,PostOne,PostTwo,PreOne And Citation,Citation And PostOne,CitingArticle,ReferenceArticle,LengthOfDocumentVector
40,-0.694,-1.1589999999999998,-3.17,-0.7189999999999999,-2.535,-3.1640000000000006,-3.362000000000001,D12-1003.xml,C04-1089.xml,1383
41,-2.3129999999999997,-2.385,-2.148,-1.3009999999999997,-2.054,-2.985,-2.6500000000000004,N09-1048.xml,C04-1089.xml,1383
42,-1.8479999999999999,-1.556,-2.759,-2.538,-1.1880000000000002,-3.329999999999999,-3.5109999999999992,N09-1048.xml,C04-1089.xml,1383
43,-2.459,-1.322,-2.62,-1.7079999999999997,-1.3090000000000002,-2.961999999999999,-3.3690000000000007,P06-1011.xml,C04-1089.xml,1383
44,-1.6720000000000002,-2.6770000000000005,-2.116,-2.221,-2.4009999999999994,-2.7949999999999995,-2.8759999999999994,P13-1059.xml,C04-1089.xml,1383
45,-3.0909999999999993,-1.2120000000000002,-3.319,-2.347,-0.405,-3.353999999999999,-3.471000000000001,P13-1062.xml,C04-1089.xml,1383
46,-3.0489999999999995,-2.3750000000000004,-1.674,-1.915,-2.166,-2.9370000000000003,-2.5150000000000006,P13-2036.xml,C04-1089.xml,1383
47,-2.3750000000000004,-1.674,-1.915,-2.166,-1.2119999999999997,-2.5150000000000006,-3.08,P13-2036.xml,C04-1089.xml,1383
48,-1.9729999999999999,-1.8410000000000002,-2.6409999999999996,-2.1500000000000004,-0.395,-2.8210000000000006,-3.2609999999999992,W11-1215.xml,C04-1089.xml,1383
49,-1.279,-0.7169999999999999,-3.066,-2.1399999999999997,-2.244,-3.285000000000001,-3.505,W13-2501.xml,C04-1089.xml,1383
50,-2.2000000000000006,-2.111,-2.2189999999999994,-3.2409999999999988,-2.5849999999999995,-2.6340000000000003,-3.7920000000000007,W13-2512.xml,C04-1089.xml,1383
51,-1.3519999999999999,-1.5,-3.2059999999999995,-2.3510000000000004,-0.39800000000000013,-3.2670000000000003,-3.9460000000000015,C10-2023.xml,C08-1098.xml,1781
52,-2.192,-1.3210000000000002,-2.119,-1.9989999999999997,-2.14,-2.6550000000000002,-3.271,D12-1133.xml,C08-1098.xml,1781
53,-1.359,-1.52,-2.6630000000000003,-1.5299999999999998,-0.7069999999999999,-2.892,-3.106,D12-1133.xml,C08-1098.xml,1781
54,-0.8360000000000001,-0.4009999999999998,-2.6720000000000006,-1.044,-1.642,-2.771,-2.8529999999999998,D13-1032.xml,C08-1098.xml,1781
55,-0.6710000000000003,-1.4939999999999998,-0.9299999999999999,-2.847,-1.8729999999999998,-1.823,-3.133,D13-1033.xml,C08-1098.xml,1781
56,-1.129,-1.741,-1.5890000000000004,-3.75,-1.3639999999999999,-2.4210000000000003,-4.409,E09-1079.xml,C08-1098.xml,1781
57,-0.7080000000000002,-1.779,-2.1550000000000007,-2.143,1,-3.168,-2.7890000000000006,P10-1020.xml,C08-1098.xml,1781
58,-1.8680000000000003,-1.182,-2.5759999999999996,-2.4109999999999996,-2.008,-2.9210000000000003,-2.933,P10-1068.xml,C08-1098.xml,1781
59,-1.2039999999999997,-2.3299999999999996,-2.313,-2.3219999999999996,-0.393,-3.191,-3.165,P10-1068.xml,C08-1098.xml,1781
60,-1.891,-2.034,-1.3650000000000002,-1.5389999999999997,-1.1800000000000002,-2.4839999999999995,-1.8860000000000001,P10-1068.xml,C08-1098.xml,1781
61,-1.8910000000000005,-1.5230000000000001,-2.25,-1.138,-3.6820000000000004,-2.933,-2.6029999999999998,W10-1704.xml,C08-1098.xml,1781
62,-1.854,-3.1129999999999995,-2.513,-2.621,-1.2970000000000002,-3.4299999999999997,-3.1130000000000004,W10-1727.xml,C08-1098.xml,1781
63,-2.0119999999999996,-1.193,-1.8230000000000004,-0.3779999999999999,-2.031,-2.0330000000000004,-1.8349999999999995,W11-2135.xml,C08-1098.xml,1781
64,-1.5800000000000005,-3.502,-2.4189999999999996,-1.19,-2.5389999999999997,-3.841,-2.898,W11-2145.xml,C08-1098.xml,1781
65,-2.4350000000000005,-2.259,-2.5290000000000004,-1.8559999999999999,-1.0499999999999998,-2.75,-3.3280000000000003,W11-2147.xml,C08-1098.xml,1781
66,-2.422999999999999,-2.74,-2.215,-0.6930000000000001,-2.4130000000000003,-3.377,-2.221,W12-3141.xml,C08-1098.xml,1781
67,-1.3559999999999999,-2.432,-2.4389999999999996,-1.7160000000000002,-0.9540000000000002,-3.404,-3.0710000000000006,W12-3144.xml,C08-1098.xml,1781
68,-2.284,-1.6749999999999998,-2.796,-3.5809999999999995,-2.167,-3.135,-4.294999999999999,W12-3402.xml,C08-1098.xml,1781
